,Person,Total Gross,Number of Movies,Average,#1 Picture,Gross
0,Amy Adams,2402900000.0,30,$80.1,Batman v Superman,330400000.0
1,Ben Affleck,2517800000.0,39,$64.6,Batman v Superman,330400000.0
2,Casey Affleck,922800000.0,24,$38.4,Interstellar,188000000.0
3,Dianna Agron,132199999.99999999,5,$26.4,I Am Number Four,55100000.0
4,Jessica Alba,952300000.0,24,$39.7,Fantastic Four (2005),154700000.0
5,Alan Alda,753000000.0,22,$34.2,What Women Want,182800000.0
6,Mahershala Ali,1399600000.0,13,$107.7,Mockingjay Part 1,337100000.0
7,Joan Allen,854500000.0,25,$34.2,The Bourne Ultimatum,227500000.0
8,Tim Allen,1763000000.0,20,$88.1,Toy Story 3,415000000.0
9,Woody Allen,461300000.0,27,$17.1,Antz,90800000.0
10,Mathieu Amalric,300700000.0,13,$23.1,Quantum of Solace,168400000.0
11,Gillian Anderson,180300000.0,15,$12.0,X-Files,83900000.0
12,Julie Andrews,929000000.0,14,$66.4,Despicable Me 3,264600000.00000003
13,Jennifer Aniston,1627100000.0,32,$50.8,Bruce Almighty,242800000.0
14,Aziz Ansari,168600000.0,3,$56.2,Epic,107500000.0
15,Christina Applegate,1117100000.0,21,$53.2,Alvin and the Chipmunks 2,219600000.0
16,Tom Arnold,415900000.0,19,$21.9,True Lies,146300000.0
17,Rosanna Arquette,396900000.0,21,$18.9,Pulp Fiction,107900000.0
18,Gemma Arterton,517400000.0,14,$37.0,Quantum of Solace,168400000.0
19,Kevin Bacon,1519200000.0,48,$31.7,Apollo 13,173800000.0
20,Penn Badgley,134600000.0,6,$22.4,Easy A,58400000.0
21,Alec Baldwin,2708000000.0,56,$48.4,Mission: Impossible 6,220200000.0
22,Christian Bale,2293900000.0,39,$58.8,The Dark Knight,535200000.00000006
23,Eric Bana,1068300000.0,17,$62.8,Star Trek,257700000.0
24,Anne Bancroft,548000000.0,28,$19.6,The Graduate,104900000.0
25,Antonio Banderas,2386400000.0,43,$55.5,Shrek 2,441200000.0
26,Elizabeth Banks,3043000000.0,39,$78.0,Catching Fire,424700000.0
27,Javier Bardem,725000000.0,19,$38.2,Skyfall,304400000.0
28,Ben Barnes,287700000.0,5,$57.5,The Chronicles of Narnia: Prince Caspian,141600000.0
29,Drew Barrymore,1614600000.0,36,$44.9,E.T.,435100000.0
30,Justin Bartha,1134000000.0,12,$94.5,The Hangover,277300000.0
31,Jay Baruchel,1234100000.0,19,$65.0,How to Train Your Dragon,217600000.0
32,Kim Basinger,1185500000.0,36,$32.9,Batman,251200000.0
33,Angela Bassett,1801400000.0,27,$66.7,Black Panther,700100000.0
34,Jason Bateman,1961100000.0,32,$61.3,Zootopia,341300000.0
35,Kathy Bates,2355800000.0,49,$48.1,Titanic,659400000.0
36,Dave Bautista,1758500000.0,10,$175.9,Avengers: Infinity War,678800000.0
37,Sean Bean,1641800000.0,32,$51.3,Fellowship of the Ring,315500000.0
38,Warren Beatty,312200000.0,9,$34.7,Dick Tracy,103700000.0
39,Kate Beckinsale,1046099999.9999999,26,$40.2,Pearl Harbor,198500000.0
40,Ashley Bell,56200000.0,2,$28.1,The Last Exorcism,41000000.0
41,Jamie Bell,573900000.0,20,$28.7,King Kong,218100000.0
42,Kristen Bell,1035200000.0,19,$54.5,Frozen,400700000.0
43,Lake Bell,365500000.0,10,$36.5,It's Complicated,112700000.0
44,Maria Bello,988300000.0,30,$32.9,Grown Ups,162000000.0
45,Monica Bellucci,1027900000.0000001,16,$64.2,Passion of the Christ,370800000.0
46,Roberto Benigni,88900000.0,11,$8.1,Life Is Beautiful,57600000.0
47,Annette Bening,1030300000.0,31,$33.2,Captain Marvel,416000000.0
48,Melissa Benoist,50500000.0,2,$25.3,The Longest Ride,37400000.0
49,Peter Berg,229800000.0,5,$46.0,Collateral,101000000.0
50,Gael Garcia Bernal,317000000.0,24,$13.2,Coco,209700000.0
51,Halle Berry,1988100000.0,32,$62.1,X-Men: The Last Stand,234400000.0
52,Paul Bettany,2605800000.0,25,$104.2,Avengers: Infinity War,678800000.0
53,Justin Bieber,79200000.0,2,$39.6,Justin Bieber,73000000.0
54,Jessica Biel,773000000.0,25,$30.9,I Now Pronounce You Chuck and Larry,120100000.0
55,Rachel Bilson,95300000.0,5,$19.1,Jumper,80200000.0
56,Mike Binder,19100000.0,2,$9.5,The Upside of Anger,18800000.0
57,Brad Bird,608600000.0,1,$608.6,Incredibles 2,608600000.0
58,Jack Black,2091100000.0,27,$77.4,Jumanji (2017),404600000.0
59,Lucas Black,730200000.0,12,$60.8,Furious 7,353000000.0
60,Macon Blair,9400000.0,3,$3.1,The Florida Project,5900000.0
61,Cate Blanchett,3487500000.0,45,$77.5,Return of the King,377800000.0
62,Nikki Blonsky,118900000.0,3,$39.6,Hairspray (2007),118900000.0
63,Orlando Bloom,2988400000.0,18,$166.0,Dead Man's Chest,423300000.0
64,Emily Blunt,1470200000.0,29,$50.7,A Quiet Place,188000000.0
65,Chadwick Boseman,2403900000.0,8,$300.5,Black Panther,700100000.0
66,Kate Bosworth,529299999.99999994,19,$27.9,Superman Returns,200100000.0
67,Sofia Boutella,426600000.0,6,$71.1,Star Trek Beyond,158800000.0
68,John Boyega,1655000000.0,6,$275.8,Star Wars: The Force Awakens,936700000.0
69,Luke Bracey,171000000.0,5,$34.2,Hacksaw Ridge,67200000.0
70,Zach Braff,281700000.0,6,$47.0,Oz The Great and Powerful,234900000.0
71,Kenneth Branagh,919200000.0,19,$48.4,Harry Potter / Chamber of Secrets,262200000.0
72,Russell Brand,1187400000.0,10,$118.7,Despicable Me 2,368100000.0
73,Marlon Brando,552800000.0,12,$46.1,The Godfather,135000000.0
74,Benjamin Bratt,1053099999.9999999,21,$50.1,Despicable Me 2,368100000.0
75,Ewen Bremner,1161800000.0,16,$72.6,Wonder Woman,412600000.0
76,Abigail Breslin,1103900000.0,21,$52.6,Signs,228000000.0
77,Jordana Brewster,1157800000.0,7,$165.4,Furious 7,353000000.0
78,Chris 'Ludacris' Bridges,1513500000.0,14,$108.1,Furious 7,353000000.0
79,Jeff Bridges,1804700000.0,54,$33.4,Iron Man,318400000.0
80,Jim Broadbent,1156200000.0,47,$24.6,Harry Potter 6,302100000.0
81,Matthew Broderick,1396900000.0,36,$38.8,Lion King,422800000.0
82,Adam Brody,492700000.0,18,$27.4,Mr. & Mrs. Smith,186300000.0
83,Adrien Brody,603400000.0,33,$18.3,King Kong,218100000.0
84,Josh Brolin,3122500000.0,40,$78.1,Avengers: Infinity War,678800000.0
85,Albert Brooks,1208300000.0,21,$57.5,Finding Dory,486300000.0
86,Pierce Brosnan,1611000000.0,40,$40.3,Mrs. Doubtfire,219200000.0
87,Chris Brown,269400000.0,6,$44.9,Think Like a Man,91500000.0
88,Emily Browning,238900000.0,11,$21.7,Lemony Snicket,118600000.0
89,Sandra Bullock,2602800000.0,36,$72.3,Minions,336000000.0
90,Billy Burke,1766500000.0,16,$110.4,The Twilight Saga: Eclipse,300500000.0
91,Edward Burns,370300000.0,13,$28.5,Saving Private Ryan,216500000.0
92,Ty Burrell,444900000.0,10,$44.5,The Incredible Hulk,134800000.0
93,Gerard Butler,1655200000.0,32,$51.7,How to Train Your Dragon,217600000.0
94,Amanda Bynes,435600000.0,7,$62.2,Robots,128199999.99999999
95,Rose Byrne,1641100000.0,28,$58.6,Bridesmaids,169100000.0
96,Nicolas Cage,2408300000.0,58,$41.5,National Treasure: Book of Secrets,220000000.0
97,Michael Caine,3440100000.0,61,$56.4,The Dark Knight,535200000.00000006
98,Neve Campbell,501200000.0,13,$38.6,Scream,103000000.0
99,Steve Carell,3054100000.0,32,$95.4,Despicable Me 2,368100000.0
100,Jim Carrey,2545400000.0,28,$90.9,The Grinch,260000000.0
101,Helena Bonham Carter,2966700000.0,38,$78.1,Harry Potter / Deathly Hallows (P2),381200000.0
102,Dana Carvey,241600000.0,7,$34.5,Wayne's World,121700000.0
103,Katie Cassidy,150400000.0,4,$37.6,Nightmare on Elm Street,63100000.0
104,James Caviezel,748500000.0,22,$34.0,Passion of the Christ,370800000.0
105,Henry Cavill,1317400000.0,12,$109.8,Batman v Superman,330400000.0
